Date,FXE,EWJ,GLD,QQQ,SPY,SHV,GAF,DBA,USO,XBI,ILF,EPP,FEZ,Mkt-RF,SMB,HML,RF
3/19/2007,124.9322433,47.22544098,64.73999786,38.37779999,106.0158768,96.94044495,44.55289459,24.49540901,389.6000061,14.7007246,24.0019474,24.85988998,33.52772141,1.08,-0.1,-0.07,0.019
3/22/2007,125.3355026,48.23024368,65.76000214,39.25585556,108.2692413,97.00270081,45.80274582,24.83470726,401.4400024,15.13907909,25.0093689,25.55860519,34.5401268,0.67,0.02,0.13,0.019
3/23/2007,124.9322433,48.29507065,65.15000153,39.13167191,108.4280472,97.03824615,46.17694855,24.76873207,404.5599976,15.20578289,25.06572723,25.53569603,34.73383331,1.64,-0.13,-0.1,0.019
3/26/2007,125.3260956,48.03575897,65.83999634,39.29133224,108.2843781,97.04711914,46.17694855,24.31633568,409.3599854,15.20578289,25.06572723,25.69987869,34.69009781,-0.02,0.22,-0.41,0.019
3/27/2007,125.5511093,47.84128189,65.69999695,39.01638412,108.0272675,97.0737915,45.86261368,24.42943573,409.6000061,15.20260811,24.85014915,25.57006073,34.59635925,0.08,0.07,0.07,0.019
3/28/2007,125.1291656,47.48474503,66.05000305,38.59952164,107.2408524,97.10045624,45.21897888,24.57080841,416,15.18354988,24.51340675,25.25888634,34.2776413,0.06,-0.04,-0.18,0.019
3/29/2007,125.3542252,47.54956436,65.65000153,38.64386368,107.3542557,97.12711334,46.10210419,24.58965874,428.9599915,15.1771946,25.15449142,25.49560738,34.75259399,-0.61,-0.19,-0.04,0.019
3/30/2007,125.5886688,47.22544098,65.73999786,38.60839081,107.3769684,97.12711334,46.10210419,23.74141312,426.7999878,15.32649136,25.13053322,25.6483345,34.77758789,-0.74,0.22,0.02,0.019
4/2/2007,125.8124084,46.96613312,65.84999847,38.66160202,107.4979401,97.13154602,46.81309509,23.62831497,428.480011,15.39001846,25.49546242,25.77814674,34.95882797,0.29,-0.2,0.12,0.019
4/3/2007,125.4457474,47.35508728,65.83000183,39.1671524,108.6549301,97.14936829,47.4567337,23.44924164,419.6799927,15.54249001,25.91534424,26.25350761,35.3400383,-0.07,0.31,-0.09,0.019
4/4/2007,125.6996078,47.7116394,66.80999756,39.32680511,108.7759094,97.2028656,47.63635254,23.73199081,418.6400146,15.62508106,26.03791809,26.42150688,35.54001236,0.22,0.1,-0.2,0.022
4/5/2007,126.3670807,47.58198929,66.86000061,39.52194977,109.0708237,97.19393158,47.79352188,23.96761322,416.0799866,15.86649036,26.15064049,26.57423019,35.86497498,0.93,0.05,-0.1,0.022
4/9/2007,125.6431808,47.51716232,66.52999878,39.42436981,109.2220535,97.2028656,47.97312927,23.99588776,402.7999878,15.91096401,26.4183445,26.64105034,35.73374557,0.09,-0.18,-0.25,0.022
4/10/2007,126.4141235,47.67922592,67.16000366,39.62836075,109.3505783,97.22955322,48.22010422,24.08071327,404.8800049,15.86013889,26.47470284,27.02668762,36.09619522,0.31,0.02,-0.13,0.022
4/11/2007,126.4705582,47.48474503,67.08000183,39.21151352,108.9044266,97.25634766,47.82345581,24.09956169,403.6799927,15.77119732,26.31689262,26.78423119,35.91497421,0.05,-0.24,0.03,0.022
4/12/2007,126.9499893,47.41991806,66.98999786,39.52194977,109.3883743,97.28311157,48.26501465,24.02416229,413.2000122,16.12695885,26.44371033,27.08013725,36.18368912,0.22,0.08,0.05,0.022
4/13/2007,127.4859009,47.03096771,67.83999634,39.60176468,109.8874588,97.30088043,48.72154999,24.335186,412.1600037,16.24766731,26.74240494,27.05913544,36.52116394,-0.64,-0.12,0.15,0.022
4/16/2007,127.542305,47.7116394,68.40000153,39.96539688,110.9309464,97.31871796,49.4774437,24.13726234,409.6000061,16.39378929,27.0805645,27.39513016,37.0148468,0.61,0.23,-0.15,0.022
4/17/2007,127.7397385,47.41991806,68,40.05410004,111.2259064,97.32762909,49.90403366,23.81681633,402.3200073,16.35248756,27.07210541,27.42757797,37.0398674,0.34,0.23,-0.05,0.022
4/18/2007,127.9935837,47.48474503,68.37999725,39.92103577,111.3620224,97.38998413,49.62711716,23.67543983,401.1199951,16.35248756,26.90585136,27.35694695,36.9835968,1.06,0.29,0.04,0.022
4/19/2007,128.1815796,47.25785446,67.52999878,40.04522324,111.3317337,97.39887238,49.55228806,23.96761322,393.7600098,16.3302536,26.93684578,26.99422836,36.88362503,0.09,-0.44,-0.07,0.022
4/20/2007,128.0406342,47.45232773,68.69999695,40.26696777,112.3828201,97.38998413,50.20340347,24.03358841,400.3999939,16.49860764,27.29895401,27.3760376,37.50230789,0,-0.75,0.57,0.022
4/23/2007,127.8619919,46.93372726,68.26000214,40.3290596,111.9593735,97.42560577,50.09862518,23.56234169,409.7600098,16.86390686,27.10874557,27.1374073,37.15233994,-0.23,-0.37,-0.08,0.022
4/24/2007,128.473053,46.8689003,67.73000336,40.53304291,112.0047379,97.43454742,50.13604355,23.51521683,403.1199951,16.83214188,27.00729179,26.80331612,37.21484375,0.89,0.23,-0.03,0.022
4/25/2007,128.5576324,47.12820053,67.88999939,41.07406235,113.0331116,97.46130371,50.36806488,24.08071327,410.5599976,16.91790581,27.31727219,27.24241066,37.67728806,-0.24,0.08,-0.33,0.022
4/26/2007,128.1628571,46.90131378,66.87000275,41.2869339,113.161705,97.43454742,50.51025391,23.97703743,407.519989,17.09897041,27.15101433,27.08967972,37.477314,-0.1,-0.06,-0.24,0.022
4/27/2007,128.7457581,46.64201355,67.55999756,41.30467606,113.0709229,97.47022247,50.27824402,23.66601563,414.7200012,16.99413872,27.09465599,26.99231529,37.47105026,0.91,-0.38,0.18,0.022
4/30/2007,128.7174377,46.28547668,67.08999634,40.76364899,112.1332855,97.48802185,50.54017639,23.4209671,409.9200134,16.69237518,26.5719223,26.64869118,37.50230789,-0.02,0.32,-0.32,0.022
