,Mkt-RF,SMB,HML,RF
1926-07-01,    2.96,   -2.30,   -2.87,    0.22
1926-08-01,    2.64,   -1.40,    4.19,    0.25
1926-09-01,    0.36,   -1.32,    0.01,    0.23
1926-10-01,   -3.24,    0.04,    0.51,    0.32
1926-11-01,    2.53,   -0.20,   -0.35,    0.31
1926-12-01,    2.62,   -0.04,   -0.02,    0.28
1927-01-01,   -0.06,   -0.56,    4.83,    0.25
1927-02-01,    4.18,   -0.10,    3.17,    0.26
1927-03-01,    0.13,   -1.60,   -2.67,    0.30
1927-04-01,    0.46,    0.43,    0.60,    0.25
1927-05-01,    5.44,    1.41,    4.93,    0.30
1927-06-01,   -2.34,    0.47,   -1.53,    0.26
1927-07-01,    7.26,   -3.23,   -1.16,    0.30
1927-08-01,    1.97,   -0.72,   -3.69,    0.28
1927-09-01,    4.76,   -3.57,   -0.71,    0.21
1927-10-01,   -4.31,    2.13,   -4.33,    0.25
1927-11-01,    6.58,    2.76,   -0.31,    0.21
1927-12-01,    2.09,    0.93,   -1.06,    0.22
1928-01-01,   -0.68,    4.25,   -0.72,    0.25
1928-02-01,   -1.70,   -2.03,   -0.69,    0.33
1928-03-01,    8.81,   -0.26,   -1.20,    0.29
1928-04-01,    4.23,    3.82,    3.67,    0.22
1928-05-01,    1.52,    2.98,   -3.46,    0.32
1928-06-01,   -4.85,   -3.50,   -0.06,    0.31
1928-07-01,    0.62,   -1.35,   -0.47,    0.32
1928-08-01,    6.68,   -2.07,   -2.11,    0.32
1928-09-01,    2.88,    2.33,    0.99,    0.27
1928-10-01,    1.33,    2.27,   -2.26,    0.41
1928-11-01,   11.81,   -1.81,    2.80,    0.38
1928-12-01,    0.36,   -0.85,   -0.60,    0.06
1929-01-01,    4.66,   -3.54,   -1.21,    0.34
1929-02-01,   -0.34,   -0.39,    1.68,    0.36
1929-03-01,   -0.89,   -4.74,    1.61,    0.34
1929-04-01,    1.43,   -1.00,    0.60,    0.36
1929-05-01,   -6.39,   -5.35,   -1.40,    0.44
1929-06-01,    9.70,   -2.17,   -2.76,    0.52
1929-07-01,    4.46,   -3.88,    2.66,    0.33
1929-08-01,    8.18,   -9.52,    0.06,    0.40
1929-09-01,   -5.47,    1.17,   -0.63,    0.35
1929-10-01,  -20.12,   -4.08,    7.85,    0.46
1929-11-01,  -12.74,   -1.90,    5.33,    0.37
1929-12-01,    1.33,   -4.33,   -0.59,    0.37
1930-01-01,    5.61,    3.54,   -1.01,    0.14
1930-02-01,    2.50,    0.13,    0.39,    0.30
1930-03-01,    7.10,    3.43,    0.15,    0.35
1930-04-01,   -2.06,   -0.20,   -0.84,    0.21
1930-05-01,   -1.66,   -2.04,   -0.63,    0.26
1930-06-01,  -16.27,   -3.24,    2.00,    0.27
1930-07-01,    4.12,   -0.37,   -1.56,    0.20
1930-08-01,    0.30,   -2.22,   -0.78,    0.09
1930-09-01,  -12.75,   -2.22,   -5.27,    0.22
1930-10-01,   -8.78,   -0.10,   -1.35,    0.09
1930-11-01,   -3.04,    2.21,   -3.53,    0.13
1930-12-01,   -7.83,   -4.67,   -5.40,    0.14
