,Mkt-RF,SMB,HML,RF
1926-07-02,0.016,-0.005699999999999999,-0.009000000000000001,0.00056
1926-07-10,0.0036,-0.0086,0.0027,0.00056
1926-07-17,0.0101,0.0083,-0.0184,0.00056
1926-07-24,-0.020499999999999997,0.0015,-0.0025,0.00056
1926-07-31,0.0304,-0.018600000000000002,-0.0085,0.00056
1926-08-07,0.020099999999999996,0.0008,0.0053,0.00063
1926-08-14,0.0033,-0.0066,0.0076,0.00063
1926-08-21,-0.0111,0.0026,0.0195,0.00063
1926-08-28,0.0053,0.0007000000000000001,0.0084,0.00063
1926-09-03,0.0187,-0.0040999999999999995,0.0055000000000000005,0.00057
1926-09-11,-0.0127,0.0016,-0.0001,0.00057
1926-09-18,0.0016,-0.011000000000000001,0.0032,0.00057
1926-09-25,0.0062,-0.008,-0.0039000000000000003,0.00057
1926-10-02,0.0048,-0.0008,-0.0048,0.0008
1926-10-09,-0.0414,-0.0031,-0.0034999999999999996,0.0008
1926-10-16,-0.016200000000000003,-0.011000000000000001,0.0102,0.0008
1926-10-23,0.0105,0.0063,-0.0034999999999999996,0.0008
1926-10-30,0.0083,0.0087,0.0054,0.0008
1926-11-06,0.0147,-0.0088,0.0037,0.00077
1926-11-13,0.0070999999999999995,0.0046,-0.0096,0.00077
1926-11-20,-0.005600000000000001,0.0067,0.0076,0.00077
1926-11-27,0.0103,-0.0017000000000000001,-0.0013,0.00077
1926-12-04,0.009000000000000001,0.0002,-0.0079,0.0006900000000000001
1926-12-11,0.008100000000000001,0.004699999999999999,-0.0018,0.0006900000000000001
1926-12-18,0.0138,-0.009899999999999999,0.009399999999999999,0.0006900000000000001
1926-12-24,0.0025,-0.0025,-0.009000000000000001,0.0006900000000000001
1926-12-31,-0.0089,0.0037,0.0024,0.0006900000000000001
1927-01-08,0.0017000000000000001,0.0059,-0.0003,0.00062
1927-01-15,0.0006,-0.0102,0.0253,0.00062
1927-01-22,-0.0004,0.0016,0.0174,0.00062
1927-01-29,-0.0083,-0.0012,0.0052,0.00062
1927-02-05,0.0166,0.0128,0.0286,0.00064
1927-02-11,0.0039000000000000003,-0.0009,-0.0021,0.00064
1927-02-19,0.0115,-0.005600000000000001,0.0166,0.00064
1927-02-26,0.0096,0.0034000000000000002,-0.015600000000000001,0.00064
1927-03-05,-0.0068000000000000005,0.0015,-0.0154,0.0007400000000000001
1927-03-12,0.0083,-0.0054,0.0,0.0007400000000000001
1927-03-19,0.0005,-0.01,-0.0239,0.0007400000000000001
1927-03-26,0.004699999999999999,0.0017000000000000001,-0.0009,0.0007400000000000001
1927-04-02,-0.0017000000000000001,-0.0089,0.011699999999999999,0.00064
1927-04-09,0.0183,-0.0058,0.0192,0.00064
1927-04-16,0.0036,0.0171,-0.0173,0.00064
1927-04-23,0.004699999999999999,-0.009000000000000001,0.0121,0.00064
1927-04-30,-0.020099999999999996,0.0058,-0.008199999999999999,0.00064
1927-05-07,0.0269,0.0059,0.0001,0.00075
1927-05-14,0.004,-0.0024,0.0064,0.00075
1927-05-21,0.011000000000000001,-0.0077,0.0024,0.00075
1927-05-28,0.0084,0.024300000000000002,0.030600000000000002,0.00075
1927-06-04,0.0019,-0.0032,0.0039000000000000003,0.00065
1927-06-11,0.0003,0.0055000000000000005,0.0004,0.00065
1927-06-18,0.0001,0.0069,0.011200000000000002,0.00065
1927-06-25,-0.0138,-0.0043,-0.0106,0.00065
1927-07-02,0.0017000000000000001,-0.0032,0.0002,0.00075
1927-07-09,0.011699999999999999,-0.003,0.0008,0.00075
1927-07-16,0.0184,-0.0091,-0.0008,0.00075
1927-07-23,0.0096,0.0016,-0.0096,0.00075
