,Mkt-RF,SMB,HML,RMW,CMA,RF
1963-07-01,   -0.39,   -0.47,   -0.83,    0.66,   -1.15,    0.27
1963-08-01,    5.07,   -0.79,    1.67,    0.40,   -0.40,    0.25
1963-09-01,   -1.57,   -0.48,    0.18,   -0.76,    0.24,    0.27
1963-10-01,    2.53,   -1.29,   -0.10,    2.75,   -2.24,    0.29
1963-11-01,   -0.85,   -0.84,    1.71,   -0.45,    2.22,    0.27
1963-12-01,    1.83,   -1.89,   -0.12,    0.07,   -0.30,    0.29
1964-01-01,    2.24,    0.08,    1.59,    0.22,    1.50,    0.30
1964-02-01,    1.54,    0.32,    2.83,    0.06,    0.85,    0.26
1964-03-01,    1.41,    1.41,    3.32,   -2.01,    2.93,    0.31
1964-04-01,    0.10,   -1.52,   -0.55,   -1.35,   -1.08,    0.29
1964-05-01,    1.42,   -0.68,    1.98,   -0.26,    0.24,    0.26
1964-06-01,    1.27,    0.09,    0.68,   -0.42,    0.14,    0.30
1964-07-01,    1.74,    0.53,    0.68,    0.14,    1.84,    0.30
1964-08-01,   -1.44,    0.30,    0.09,    0.06,    0.36,    0.28
1964-09-01,    2.69,   -0.31,    1.65,   -0.48,    0.58,    0.28
1964-10-01,    0.59,    0.88,    1.14,   -0.29,    0.48,    0.29
1964-11-01,    0.00,   -0.27,   -1.98,    0.60,   -0.16,    0.29
1964-12-01,    0.03,   -0.58,   -2.55,    1.13,   -1.63,    0.31
1965-01-01,    3.54,    2.49,    0.18,    0.84,    0.11,    0.28
1965-02-01,    0.44,    3.31,    0.22,    0.40,   -0.69,    0.30
1965-03-01,   -1.34,    2.03,    1.09,   -0.30,    0.73,    0.36
1965-04-01,    3.11,    1.18,    0.71,    0.26,   -2.30,    0.31
1965-05-01,   -0.77,    0.05,   -1.63,   -0.38,    0.70,    0.31
1965-06-01,   -5.51,   -4.30,    0.55,    0.12,    0.41,    0.35
1965-07-01,    1.43,    1.08,    2.18,   -1.41,   -0.02,    0.31
1965-08-01,    2.73,    2.72,   -0.96,    2.06,   -0.75,    0.33
1965-09-01,    2.86,    0.62,   -0.10,   -0.82,    0.82,    0.31
1965-10-01,    2.60,    3.42,    1.52,    1.22,   -0.76,    0.31
1965-11-01,   -0.03,    5.19,    0.21,   -1.06,   -0.90,    0.35
1965-12-01,    1.01,    2.64,    1.95,   -1.28,   -0.45,    0.33
1966-01-01,    0.72,    4.72,    3.49,   -2.83,   -0.07,    0.38
1966-02-01,   -1.21,    4.86,    0.27,   -0.15,   -1.44,    0.35
1966-03-01,   -2.51,    0.22,   -2.07,    1.30,   -0.01,    0.38
1966-04-01,    2.14,    3.36,   -0.54,    0.41,   -0.91,    0.34
1966-05-01,   -5.66,   -5.18,   -1.55,    1.66,   -1.52,    0.41
1966-06-01,   -1.44,    1.34,    0.50,    0.06,    0.80,    0.38
1966-07-01,   -1.63,   -0.50,    0.96,   -0.45,    1.77,    0.35
1966-08-01,   -7.91,   -3.03,    0.47,    0.05,    0.77,    0.41
1966-09-01,   -1.06,   -1.18,    0.53,   -1.65,    2.50,    0.40
1966-10-01,    3.86,   -6.53,    2.87,   -3.64,    4.28,    0.45
1966-11-01,    1.40,    3.37,   -4.46,    4.17,   -6.53,    0.40
1966-12-01,    0.13,    1.91,   -1.22,    0.68,   -0.13,    0.40
1967-01-01,    8.15,    9.00,    2.22,    0.62,   -2.97,    0.43
1967-02-01,    0.78,    3.03,   -2.17,    1.94,   -0.94,    0.36
1967-03-01,    3.99,    1.90,    0.31,    0.90,   -1.51,    0.39
1967-04-01,    3.89,    0.46,   -2.64,    2.43,   -3.75,    0.32
1967-05-01,   -4.33,    2.37,    0.80,   -1.75,    1.61,    0.33
1967-06-01,    2.41,    6.46,    0.96,   -0.64,   -2.39,    0.27
1967-07-01,    4.58,    3.48,    2.65,    0.51,    2.72,    0.31
1967-08-01,   -0.89,    0.76,    1.46,    0.42,    1.41,    0.31
1967-09-01,    3.11,    2.46,   -2.47,    0.22,   -0.95,    0.32
1967-10-01,   -3.09,    0.47,   -3.39,    0.81,   -2.55,    0.39
1967-11-01,    0.37,   -0.06,   -1.71,    1.29,   -2.29,    0.36
1967-12-01,    3.05,    5.75,   -0.39,   -0.64,    0.03,    0.33
1968-01-01,   -4.06,    4.48,    4.75,   -4.58,    6.45,    0.40
1968-02-01,   -3.75,   -2.91,    1.17,   -0.14,    2.49,    0.39
1968-03-01,    0.20,   -1.52,   -0.59,    1.17,   -1.15,    0.38
1968-04-01,    9.05,    6.25,   -1.03,    2.79,   -3.66,    0.43
1968-05-01,    2.28,    7.03,    0.84,    0.39,   -1.82,    0.45
1968-06-01,    0.69,   -0.26,    0.67,   -1.33,    2.68,    0.43
1968-07-01,   -2.72,   -1.33,    5.48,   -3.00,    3.61,    0.48
1968-08-01,    1.34,    2.29,    1.00,   -0.60,    0.40,    0.42
1968-09-01,    4.03,    2.77,    0.23,   -2.03,    0.92,    0.43
1968-10-01,    0.42,   -0.43,    2.89,   -1.30,    2.81,    0.44
1968-11-01,    5.43,    2.41,   -0.90,    0.46,   -2.52,    0.42
1968-12-01,   -3.94,    3.60,    0.02,   -1.78,    1.65,    0.43
1969-01-01,   -1.25,   -0.46,    1.69,   -1.54,    1.41,    0.53
1969-02-01,   -5.84,   -4.12,    0.91,    2.17,    0.80,    0.46
