,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),0.638525625312329,0.6831924815145505,0.7540138231559067,0.7790891426383016,0.7977335067429699,0.8018949028838284,0.6455332378406158,0.6982975720941595,0.7889415283104905,0.8180439170719128,0.8416270982819711,0.8596397430962825,0.6532109056348618,0.6935110276431184,0.7653584823725365,0.7931302162833932,0.8024482081351562,0.7986128601108379,0.672751279913442,0.709906246544591,0.7946002653501081,0.8263331893813182,0.842692612239551,0.8425093378802727,0.7505480613065894,0.8016230031287228,0.8661781282984697,0.8808577114945229,0.8913740405608861,0.8935183824795311,0.7852343495561885,0.8434003627331365,0.9411069356688773,0.9645974742605067,0.9716459547094598,0.958208976352483,1.085139148156822
Arithmetic Mean Returns (Annual),0.03239070860738377,0.08195148905652647,0.17390564421809007,0.2183573948667186,0.2645442563913377,0.30069699716175763,0.07023132243031935,0.12590658290926487,0.23073252360705643,0.2723185639916176,0.3150029620301677,0.36191557216163445,0.0602842435446152,0.10518759373232002,0.2030433407657301,0.25088752758805,0.28231877062425736,0.30880164646598357,0.1172522658385256,0.15536021762076072,0.2618673764758659,0.3116270826867024,0.35070350976293113,0.3783576708778156,0.18017538530823934,0.23368656098143087,0.3129268062291498,0.3403509157606387,0.3711131045562952,0.40046845701760364,0.2539057679402642,0.3108901750649202,0.4140034179218609,0.4479415359774568,0.47554924498851175,0.493435471884491,0.10318669006375884
Geometric Mean Returns (Annual),-0.44819123911787884,-0.38068849932948456,-0.2821852011272996,-0.24950521890654276,-0.22587858498002156,-0.22068026657251494,-0.4372956768082803,-0.3588521495614394,-0.23695070720855527,-0.20075860425419756,-0.17235879655588815,-0.15119614188646713,-0.4254927228378447,-0.36572037396795376,-0.2672679842537773,-0.23166046416717156,-0.21999111520848436,-0.22477787037017416,-0.39606551932194756,-0.3423876918342006,-0.22981041123473767,-0.19068445170131176,-0.17109444966911802,-0.17131181097873593,-0.28678697146833354,-0.22101909604338443,-0.1436234295088823,-0.12682699298494082,-0.11496469912206098,-0.11256302255299722,-0.24165620052776782,-0.17025550737539974,-0.060691137376778226,-0.0360417915114819,-0.028762130353576776,-0.04268574208493581,0.08172157984176476
Minimum Return (Annual),-78.23072119299735,-69.9553029961654,-76.06813948736477,-79.44488714501638,-82.7668602023898,-85.85844019579666,-78.88453344140183,-76.26550236324425,-79.5070629973877,-80.43721654054458,-82.3084734066576,-85.00489158628804,-95.9902003745621,-89.47072691862815,-76.25503706696463,-75.48515462670275,-79.0762253826601,-88.35203129043234,-92.58917458982388,-86.87036989260568,-74.37131173444287,-77.03339079549944,-80.77968546166063,-86.681562903935,-73.5504499475542,-67.58849597474249,-72.7176948499479,-75.98680560316447,-78.32494048021984,-77.72370448898863,-79.6169564255971,-73.6023731287715,-76.41287658728965,-79.57630773663868,-82.74035343780325,-85.90155808217739,-27.355911572946173
Max 10-day Drawdown,-0.611033921870453,-0.5918980297789722,-0.6165364351589857,-0.6342825741446477,-0.653581011759948,-0.6703603192431995,-0.618196884654429,-0.6168148720854995,-0.6299369685932555,-0.640813062716046,-0.6524297315885084,-0.6631342531707374,-0.6302505702221912,-0.5952227511096637,-0.6025066055713156,-0.6141253552020457,-0.6290867022748434,-0.6461097340411663,-0.6041050219735402,-0.6076108636563466,-0.6234412538626649,-0.6349126631078892,-0.648289777251073,-0.6615576375150773,-0.5872430268596989,-0.5975112433129997,-0.6267904991652242,-0.6426654411686721,-0.6537633229359137,-0.6513910760042374,-0.6257340589842846,-0.6331761058145691,-0.653390486068969,-0.6667814028763882,-0.6801316202495313,-0.6944122251292498,-0.24948300505769017
Volatility,0.980654214450358,0.9622014919202995,0.9550900365249351,0.9666948292543036,0.9888283641963089,1.01808640584721,1.0048874046063974,0.9821658017662823,0.9653407899858214,0.9712411334129998,0.985751553549673,1.0108955463921165,0.9877564720970952,0.972781477421224,0.9712198292005968,0.9827415928427781,1.0012355698083533,1.029971808390626,1.0128817199652032,0.9975532146239959,0.9909549589585362,1.0009223934406097,1.0189777623276395,1.0441436571287148,0.9653298240140867,0.9529882228790267,0.9546206516272167,0.9648894823791109,0.9832631497141089,1.0089210340364025,0.9938938655769238,0.9798721826040546,0.9732245798079581,0.9819414738442396,1.0011182561004814,1.0302352470346565,0.20704487713959027
Sharpe Ratio (Annual),-0.028153951704669743,0.02281381731462202,0.11926168200071709,0.16381322220257816,0.2068551669809607,0.23642099116475224,0.010181561022079722,0.0671033167625481,0.17686243591712736,0.2186054077482462,0.25868887663621404,0.29866149201979403,0.000287766825776124,0.04645194710338152,0.14728214608578155,0.19423979709240694,0.22204441924372648,0.24156160822959472,0.0565241377250766,0.09559411590559055,0.2037099412550722,0.25139519740561467,0.28528935616698875,0.30489834296677687,0.12449152851045206,0.18225467724744257,0.2649500676504522,0.2905523594986054,0.31640879112245146,0.337457982866595,0.19509705679459854,0.2560437774630649,0.363742783799927,0.3950760267398523,0.4150850735727702,0.4207150484630143,0.20858613195554823
Kurtosis (Annual),5.456298994200555,4.731515519601328,3.8227636410298445,3.6430633000820336,3.7284580514970145,4.019736773876146,5.298589121699676,4.691889465746246,3.8342407191680055,3.72740423111781,3.800445383159805,4.12481631218268,8.349615251170679,7.2037548935986155,5.275006488984106,4.656963782063077,4.32390753027555,4.264588341064708,6.378948266030735,5.734692843136941,4.7508242901922815,4.46646969237945,4.283149139097918,4.305905362516941,5.050301929868223,4.654695751323921,4.17691433875305,4.067627531335045,4.030644978564804,3.9466942330616233,5.458633449540512,5.014715636564974,4.24627360919622,3.993918200390646,3.9129530302093487,3.9965456218178863,14.86576961465233
Skew (Annual),0.3448329075554372,0.3115191820488421,0.25640663071136105,0.21889840792804985,0.18581152739483897,0.14571687155533616,0.22144751171110982,0.18828533705172812,0.1712288606875748,0.18310061022705287,0.1862765747225233,0.18304648391334505,0.5281918314670533,0.49386075402801227,0.37584444480606427,0.30499092718311005,0.2324900043941369,0.15861187174047076,0.3555129417028845,0.3308922415819387,0.26278539470512524,0.22128531481894406,0.16879114250552443,0.1117244628202945,0.25119439338897537,0.24702065506649296,0.20771900576637986,0.1672202021346168,0.1261892572651513,0.07732176719123644,0.24576472694359178,0.24304110415528302,0.19906428864155615,0.15386716374565956,0.10140090056528753,0.035959199634231456,-0.046914821487074966
