,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),1.045156279560962,1.0357441360881996,0.9705606828684927,0.9492240003943817,0.9132450442670189,0.88984178771239,1.0436054093635247,1.0157320593013714,0.9566216969252644,0.9217908828053943,0.8877170519994109,0.8575818390644769,1.2956203200413148,1.1820689054311149,1.0699650649059738,1.0056952611013126,0.92712546898279,0.8768747634353664,0.9329686509212682,0.8982368605094553,0.8463516313655401,0.8114923673410883,0.7831181503002018,0.7540310832908937,1.6689843161759925,1.6179823248818614,1.5352156723279755,1.4700502086730185,1.3943262135757248,1.320964276238836,1.0943211872087972,1.0645320360720205,1.0171464402465427,0.9916318435100401,0.9636994555451697,0.9331033533423179,1.1757782139703878
Arithmetic Mean Returns (Annual),0.2438417124802655,0.22662146285185575,0.16351168619964862,0.1527594984237676,0.13192499354624998,0.13079075111183214,0.09792701177548037,0.06869265547563892,0.011201867931144978,-0.021098022442146896,-0.05126550351253923,-0.07546661651811826,0.44602763978178045,0.3520822090525993,0.25971571924819065,0.20642053448516592,0.13561789226863052,0.09440969961284451,-0.02335983264929938,-0.061585741286623405,-0.11484931405354225,-0.1504323804178478,-0.17697194610582584,-0.20319034517645246,0.6144803054675464,0.5811078393577772,0.5317480284103615,0.49364338333006064,0.4476083816163605,0.4056910495005959,0.139333347559108,0.11141920865932566,0.07193654500313251,0.05343007073859871,0.0339907184914443,0.0134807616936867,0.23549610692751455
Geometric Mean Returns (Annual),0.044170325630199514,0.035122607410675855,-0.029879565181106793,-0.05210503924982235,-0.09073457029204479,-0.11668435971803892,0.04268510125665648,0.01561008054462576,-0.04434333357219988,-0.0814236268937285,-0.11907385572701434,-0.1535914653443271,0.2591237896316101,0.16732218136522592,0.06763514569629869,0.005679168922079203,-0.07565492343433733,-0.13135657671367595,-0.06937405169887834,-0.10729844846793513,-0.16676472012716603,-0.20879306003007692,-0.2443522061233716,-0.2821623362199155,0.5127403349658444,0.4816432599403231,0.4290386019005221,0.38559361522738644,0.3326323900919581,0.2785170105257806,0.09015050100030786,0.06254312182607524,0.017001677164507623,-0.008403224843744894,-0.036973066803114296,-0.06922972170469999,0.16198269225647932
Minimum Return (Annual),-35.8149551710714,-36.619721557112165,-38.42249181181015,-39.27286006356846,-40.0508194790552,-40.86754275548229,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.360680729813822,-42.91492321272445,-43.20403324977236,-43.80789168343138,-44.10109302453733,-44.374948441062955,-44.68619691392929,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.37848422902839,-26.35506174871752,-23.429395772755594,-29.043138822979266,-32.518777059620014,-35.74164212724716,-39.65007091221962,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.360680729813822,-21.92484528954599,-27.355911572946173
Max 10-day Drawdown,-0.23759071410898147,-0.22840623820754669,-0.23858197119305902,-0.2554852885442124,-0.2726249003371368,-0.2877131881895305,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.2167538613134311,-0.21125950295022422,-0.1989888766424378,-0.19904749474075634,-0.21767661429643015,-0.2343024566318752,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.17266137515325597,-0.18343431496914642,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.1709061865887953,-0.2224499249800891
Volatility,0.6266066130816905,0.6133170975646617,0.6163990507923597,0.6348333648016312,0.6621181672553879,0.6980311758050773,0.3298889050456007,0.3232090939658893,0.3307250221722312,0.344756267088188,0.36557366216970083,0.39241746215382106,0.6073988250585024,0.6030921372129674,0.6138387411239455,0.6271179201848174,0.6430309610928008,0.6644854316373704,0.300843072900878,0.2997996995399294,0.3195843981993832,0.33894918390483697,0.3641393220536859,0.394045331098938,0.44928108490573077,0.44389989774768573,0.45044257152748135,0.4617071404182606,0.475957925975175,0.5000171428166647,0.311625542336323,0.3105211342986157,0.32909373201824527,0.3490926722400637,0.37384311417318444,0.40336539198947835,0.3813722177765927
Sharpe Ratio (Annual),0.29339255067245534,0.27167262010707105,0.16792966515212496,0.14611629376592786,0.10862863625143146,0.10141488455753472,0.1149690432002789,0.026894835689729467,-0.14754895698046847,-0.23523291723483644,-0.30435864239281357,-0.3452104699281135,0.6355422892769009,0.4843077716157615,0.3253553512808738,0.23348166233555318,0.11759603634033654,0.051783978962571024,-0.2770874258313564,-0.40555658152162277,-0.5471146746796343,-0.6208375485480696,-0.6507727448091655,-0.6679189534931195,1.2341501213742145,1.1739309740818566,1.0472989415956664,0.939217407244824,0.8143753060151316,0.69135839534075,0.254579091830307,0.16559004518474374,0.036270958215851835,-0.018820014809372117,-0.06957271786610142,-0.11532778773327866,0.4601701402127827
Kurtosis (Annual),1.7984711023199678,1.5977578400872563,1.2672827558069866,1.1247270045425681,1.0463038097914135,1.0661504173573952,3.4458666364535304,3.638354626906474,3.3429154265116603,2.888882930293109,2.4353503878600486,2.1352720992577723,2.787891559924116,2.8270534374624434,3.2058861545921546,3.4562084464545455,3.697419552346502,3.8996448200066176,4.66716101956083,4.664930648369192,3.4410816424109303,2.7317520314058985,2.299727634183329,2.1496778684154103,2.4071210973910206,2.1561626982236985,2.6269179322534946,3.206682633193764,3.8426110430822904,4.564380607634041,4.02848745418996,4.133902136984018,3.169584613584715,2.5349379660996414,2.1477300157133223,2.0667453086831804,5.611928481182348
Skew (Annual),-0.5501699901500164,-0.6129638177300974,-0.600517395907695,-0.5299123991084129,-0.466820979603936,-0.43079652292293447,-1.0267492849267637,-1.1173502449742718,-1.0297776750137915,-0.940933501448166,-0.855183139099672,-0.7783669736647415,-0.4252680336491185,-0.5207269900162165,-0.6182009095664968,-0.6316517926280211,-0.6264285814374433,-0.6060607952156126,-1.211072280804826,-1.233653311807665,-1.1035806177891632,-0.986509051883449,-0.9287872587435673,-0.8950089107999339,-0.4496478312988891,-0.5359657185261922,-0.6547349392859271,-0.6778693372739726,-0.6911524697289825,-0.7209682950328012,-0.9266673406947155,-0.98567861395891,-0.9720022735767165,-0.9322965467697235,-0.9077768203312683,-0.8942420280417152,-0.5847146047405479
