,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),0.5757716167320273,0.6588470671033329,0.8186018229528701,0.852504596966021,0.8594594546912563,0.8314388098527742,0.5168387155318402,0.5640434646590727,0.6989889243852465,0.7558319697847664,0.8134296324690794,0.8153025762472584,0.44915017195406376,0.5625735317780854,0.776622823859314,0.8633150979252239,0.9114698204680075,0.9356578904750362,0.43566325379933674,0.5281935193876607,0.7309965154775795,0.752919301601129,0.7788265959345229,0.7837355381587011,0.3730730876529066,0.4458693219356858,0.5724685851297744,0.623448339140412,0.6465093443284011,0.6525328372618687,0.42560219099202806,0.5423052095619658,0.7528351414486805,0.8237000121329857,0.8526935772787905,0.8456469865390249,0.9406819329714091
Arithmetic Mean Returns (Annual),0.2964338118565437,0.3601582388651581,0.5012008296972952,0.5420247358304775,0.5756151653411552,0.5970574427211425,0.1599873544065462,0.1828303882442622,0.30746045879734,0.37674698587295635,0.45547971451763775,0.4865038795935956,-0.025982759385877605,0.13467875096043838,0.41957949695536784,0.540347714090305,0.6334688668205417,0.7144186613864747,0.018909140263440666,0.15065520457963447,0.38056362612980005,0.3989836252351998,0.44096518914646815,0.4766622158821319,-0.34049665558964826,-0.19730245283461462,0.023016446563956832,0.12113773439873132,0.18812468149937242,0.2487090891733549,-0.10443508529211784,0.09021391737498254,0.3558961201066076,0.4418851871417563,0.48954457628180836,0.5153622893507975,-0.009393771313181651
Geometric Mean Returns (Annual),-0.5514351384383609,-0.41691581496752783,-0.2000773833504832,-0.15952575890595955,-0.15140576247693605,-0.1845294373751527,-0.6591539171423855,-0.571968669456524,-0.3578640038340575,-0.27977951963764625,-0.20641059819354046,-0.20411260614883187,-0.7991180808621379,-0.5745721505715784,-0.25267269956422145,-0.14693234012339018,-0.09267961188810792,-0.06649652580140164,-0.8295064740526104,-0.6374784067073591,-0.313150295883996,-0.28363620531801637,-0.24984193095825558,-0.24356491446142492,-0.9840391698429651,-0.8064259207256896,-0.5571756048227683,-0.4720431622599608,-0.4357873639359855,-0.4265295464547514,-0.852792367112748,-0.6111780217826768,-0.2837478631659007,-0.193873665421479,-0.15930424822033218,-0.16759707737279417,-0.06114272804386145
Minimum Return (Annual),-100.52873786654781,-99.19873426652657,-91.0196222448919,-84.51050401729313,-78.73927728639771,-85.62514906275025,-105.72449273142786,-104.00757762191225,-97.7271609198267,-92.6220633634462,-86.82138073467218,-81.52428306765532,-90.37950541374687,-83.4082536677472,-71.97629044421548,-69.06532824575608,-77.69382206120649,-85.96774776370789,-97.98593430187891,-98.37317802898677,-93.81845157047958,-89.10665600538016,-84.33658928640277,-79.69996961003874,-91.08845774204713,-81.1769835253277,-74.96770395146523,-71.0308223486005,-75.25445502242611,-82.7174884190875,-90.80294448619617,-90.89366005781088,-85.62579082714065,-82.27411886629358,-78.2641366277875,-78.24266954372072,-24.61191449608238
Max 10-day Drawdown,-0.6193146089640935,-0.6212891519446183,-0.6276677954247543,-0.6361738899156489,-0.6461026616136436,-0.6590928956006741,-0.6091764264020381,-0.6104296060363682,-0.6286886468952768,-0.6404324533228724,-0.6471755039754646,-0.6588387632857704,-0.6077268711093033,-0.6092698877168269,-0.6271566672913651,-0.6370049559692397,-0.6487852922957627,-0.6620082410534183,-0.6091149479236913,-0.6104708879420343,-0.6185416990626977,-0.6312967801596305,-0.6430122023516003,-0.6547983162238771,-0.58128243953803,-0.5756821294008478,-0.6065355809793043,-0.6214086055852738,-0.6381780266784758,-0.655200275730148,-0.5933877772378799,-0.593046429031483,-0.6066969506556767,-0.6192803026705198,-0.6330457975847452,-0.6474417004746658,-0.24948300505769005
Volatility,1.276140967227164,1.2222694709984918,1.162276971655993,1.1639083441640978,1.1861806164217161,1.2312705938659478,1.2566393289307523,1.2057750132752831,1.1337439606892312,1.1273256229312252,1.1328687695681157,1.158280228097152,1.2141004467757568,1.167309539761145,1.1398255057938727,1.15328805685307,1.1863225454996524,1.2313830880895587,1.2756517368109073,1.2313342356817096,1.1564231397059108,1.1474730549944496,1.155274678076386,1.1809267316337357,1.109312813208152,1.0835824826908518,1.0603512136440245,1.0729756609891206,1.1012917071510875,1.1466902499966518,1.1965369011329288,1.1613698763254465,1.1122094984686761,1.10954365302955,1.1217731367130148,1.151913357808232,0.3222367090388152
Sharpe Ratio (Annual),0.18527248785866812,0.24557452017512466,0.37960042266748134,0.41414320830963774,0.4346852057796916,0.43618149040243676,0.07956726493004428,0.10186841400089583,0.21826838102573234,0.28097204519255403,0.34909578685658954,0.3682216697199998,-0.07082013651689112,0.06397510550262371,0.3154688986406965,0.41650280798104355,0.4834004622065152,0.5314500968189996,-0.03221165977423063,0.07362355561359389,0.2772027081811268,0.29541750349583545,0.32976156785570865,0.3528264749377861,-0.36103130768985253,-0.23745534552723432,-0.03487858830183702,0.05697960971674942,0.11634036710474825,0.16456849543624,-0.13742583712748363,0.026015757762358045,0.26604351114965874,0.34418221049621534,0.38291572709652033,0.39530949638193646,-0.21535029798489777
Kurtosis (Annual),4.484114392684535,4.357897398900038,3.6132678144439456,3.1530843068150443,2.9214096352231564,3.0115184335990364,4.909609431803638,5.169404198099189,4.6878627531802675,4.176545434171731,3.6973160460297905,3.4232536763648413,4.168006367795083,3.6251455544412403,2.830760493407886,2.5705879828901894,2.405592871333398,2.376126223896203,4.081942542983016,4.115152374983825,3.8520059372915414,3.6036476203449297,3.3220130373424723,3.1427109613621695,4.395887180103818,4.0773247487523365,3.558034033037691,3.3767814806297114,3.257725134662933,3.263871239627984,4.546378967919105,4.338291715154138,3.9113390985159375,3.6464872690248535,3.4128549846111396,3.266541608327347,7.822812724527765
Skew (Annual),-0.31242724315982534,-0.3595962123778784,-0.44316220108641863,-0.4257034298657604,-0.37688266744502424,-0.2913379612990137,-0.22350306669554917,-0.27132023635082897,-0.32882808903430494,-0.33453271629036335,-0.33136709351539545,-0.289925954949765,-0.5125426052264052,-0.46301161023412424,-0.44288415218093,-0.4281707533207672,-0.3861162544350831,-0.3203661365532585,-0.34886620989044675,-0.3413470792347052,-0.40785254662934906,-0.4237682839481145,-0.40431790064770146,-0.35010029000620885,-0.5355492894712717,-0.4284896264064998,-0.3865993266058842,-0.3603321402633006,-0.31313207637982143,-0.24347843884499035,-0.43929994828224644,-0.4044387694875752,-0.3865285285679005,-0.38510463673665485,-0.3590598003731991,-0.30600882183410727,0.3942604102601764
