,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),0.8012479232511406,0.8703245757190062,0.9677002272542929,0.9937476975436743,1.0314925946586746,1.072711398733087,0.5594588738573533,0.5885779451609818,0.6321933374471385,0.6650645204076018,0.7107655017084753,0.7690339329448962,0.8234100218887168,0.8677441923817478,0.9581147606369261,0.996721126990331,1.0255177287471071,1.0425070905678548,0.739517294366131,0.7584129447897778,0.7841210552735717,0.7990710869555956,0.8204584695461854,0.8596382698175642,1.0172229825288708,1.065812624482782,1.1778662787030167,1.2290264670783884,1.2886863446803543,1.3520929596755178,0.9708995794453474,1.0172572318425759,1.0977505079800063,1.119128551015637,1.1408720328310649,1.1837945863524815,1.1902702604761841
Arithmetic Mean Returns (Annual),0.06615103620211,0.1429527996054846,0.24947792118509388,0.2828496214083087,0.3341679018757306,0.39190845705670024,-0.31661653933802103,-0.27072890948729106,-0.19360039483001015,-0.13261231530096595,-0.050329990004478214,0.046961981554281614,0.06716100236911926,0.11244510945647619,0.2149263794716556,0.26325442156735596,0.30735700178776093,0.34624685697441987,-0.04842666109816383,-0.026421343294867724,0.02246873769507224,0.05643112502293889,0.10334721155888779,0.17213705265102822,0.2874450522162593,0.32853003942505976,0.42921219150308204,0.47960156713778224,0.5419397980570996,0.6108557797557301,0.24148594522936156,0.283371469553212,0.3680286191055163,0.4001810533793408,0.4386287553382087,0.4984089934175651,0.18563717297439875
Geometric Mean Returns (Annual),-0.22148669194049786,-0.1388504881705832,-0.032830766348468376,-0.0062718512799098125,0.031008797238774033,0.07019931481555552,-0.5801111581790197,-0.5294844134361987,-0.45813972036987116,-0.40753868286702577,-0.3411796991336369,-0.26248229394931766,-0.194225512172852,-0.14181807704202742,-0.04278405492072479,-0.0032842387205078705,0.025198856165753458,0.04163194222406297,-0.3015755684777355,-0.27637438135630354,-0.24307361709496877,-0.2242047715587947,-0.19781368395019316,-0.1511978546841486,0.01707693144076261,0.0637456615246168,0.1637581733228144,0.2063074445306512,0.2537520551939565,0.3018357955814621,-0.02953049152851217,0.01711060260184416,0.09328049137863337,0.11257564193956071,0.13182765591601697,0.16878197923664295,0.17424108269326055
Minimum Return (Annual),-47.86013317300493,-48.51419256728364,-49.38690847689521,-49.49061965262207,-48.964449533334665,-53.55653748999831,-49.24957649508132,-49.469408658351504,-50.884083706023745,-50.675832651604054,-50.20016351713347,-49.7829636329127,-48.50993654130404,-48.53123575881473,-49.0027781826106,-49.960238056162446,-50.64568764214164,-50.90716382684625,-51.13194491247978,-51.49909259089404,-51.771432139367896,-51.78191677036861,-53.21185533220075,-55.664584676942965,-46.36700629324697,-47.27977989603019,-47.639938461676564,-47.34677205736332,-46.986147308089144,-45.937843833961736,-50.25046624084975,-50.54872560243282,-50.078831254525404,-49.252483626076724,-48.041718480262126,-52.18505079430314,-16.280913720168044
Max 10-day Drawdown,-0.4585263895259245,-0.4527308703851779,-0.4351810466389764,-0.4252895721903184,-0.41982801846660533,-0.4380387379309737,-0.4563634155456783,-0.4509812158003338,-0.4491886857062669,-0.4402035544469338,-0.4302366063667076,-0.41951224986814584,-0.4090977354666385,-0.41620766650797836,-0.42756940920361364,-0.43739983635390767,-0.4510192441076383,-0.4691797969332949,-0.39752363593442774,-0.4094714780096965,-0.430420860575071,-0.43327267689021,-0.4422544528560356,-0.4630306210949393,-0.42328342821928044,-0.4269024912155118,-0.4443630561053885,-0.44503944172063303,-0.45391377023049895,-0.4674829316237691,-0.4178531554210143,-0.43060835120713903,-0.44426998928007444,-0.44436907760655997,-0.4565974474419142,-0.47339846761351323,-0.1580292427805855
Volatility,0.7567215286151132,0.7489408792280342,0.74926942267183,0.7581838848351196,0.7764359827673936,0.7997446935255251,0.722995872465887,0.7166189220956827,0.7246278988194619,0.7388371693985075,0.7601005712085418,0.7841447876446629,0.7208851177130233,0.7107941882177659,0.7152809778609867,0.7272808733587444,0.7480893691136362,0.7769895188663456,0.7079801894356994,0.7034512613960002,0.7251038893310664,0.7454376361698017,0.7721592957290448,0.7999696273149198,0.7352942363235898,0.7273587538907261,0.7280094756330459,0.7386913325405111,0.7585841631675374,0.7855295703152877,0.7346216913973029,0.7278698209272431,0.7389507927313866,0.7560039880660785,0.7808981880705891,0.8093603964481944,0.1507837189622431
Sharpe Ratio (Annual),0.008128533376560736,0.11076014396622019,0.2528835629104308,0.29392555798883974,0.3531107624591716,0.4150180173044272,-0.5209110503681207,-0.461512945430057,-0.3499732693747604,-0.26069656925594714,-0.14515183145969243,-0.016627054915305507,0.009933624919095612,0.07378381861559144,0.2165951343134491,0.27947169932942406,0.33065167345024377,0.3684050428274295,-0.1531492868247995,-0.12285334896317397,-0.05175984139259225,-0.004787623811696245,0.05613765423617795,0.14017663773987737,0.30932522108899657,0.36918513455521296,0.5071530026199603,0.5680336950681232,0.6353148687480055,0.7012540336764577,0.2470468097452477,0.30688381786272734,0.4168459146879713,0.44997256462833274,0.48486315005251707,0.5416733946230675,0.8332277107839398
Kurtosis (Annual),1.723281718885958,1.6672408802099996,1.5172247533876106,1.4333861055129624,1.3828140558121582,1.4046556868197744,2.158930305983506,2.098876874476389,1.9666504540051362,1.915923526400105,1.92455503126454,1.9186490427241214,1.708157502274167,1.5278851331221617,1.4149817355301026,1.484997113160567,1.6046973106589082,1.7127867984017087,1.7669419668302577,1.6749266071570723,1.6816563174198418,1.7144912435253152,1.8506565875590937,1.9368735538241761,2.263635916877983,2.1006954195594334,1.7293252593682604,1.6415801618015715,1.605032704491279,1.5983492619406503,1.9032108632402798,1.7898307193441134,1.6128379543772615,1.5866255621966738,1.6029957069867278,1.6197880029641105,5.1038105019026805
Skew (Annual),-0.0023459022619304387,-0.022556785243589478,-0.06963067177676262,-0.07808174156553926,-0.07213360577927325,-0.07399929756912785,-0.0649403091604018,-0.06227538165139808,-0.0684686716340113,-0.060227161865928094,-0.045819917489217044,-0.036639420321328976,-0.059011579734473955,-0.0940943134420779,-0.13819401759800057,-0.1483492383481392,-0.15407282397823346,-0.16097132522512267,-0.1845116672597106,-0.1978272540272502,-0.18503025196470568,-0.17360377306505298,-0.1615347230090544,-0.15694943382836532,0.12089454922404246,0.08153465273915807,0.032967005519679675,0.02818299909523387,0.02881410068575434,0.030103285040495757,-0.019649561143938447,-0.05632135244209747,-0.10455384375265435,-0.10346448385504287,-0.08847795880659923,-0.08501840276346595,-0.45269835877077363
mVaR (Annual),-121.47003367289163,-120.24530024692447,-120.8480554719969,-122.40219939376655,-125.01660645792741,-128.47463726197225,-119.10359463139237,-117.81354258040338,-118.9431237301663,-120.7697729898574,-123.3785881145976,-126.46184676724128,-116.86979037614226,-115.90176169257876,-117.03558052642326,-118.81938319040853,-121.92624361405935,-126.44533253834005,-117.9021226698914,-117.40085157784087,-120.43322300766351,-123.313883027167,-126.97915644156927,-130.89969115666412,-113.22118101995062,-112.78365811473682,-113.80792886703735,-115.43060129447153,-118.26884117195738,-122.13740950684608,-116.89546566589728,-116.46362328435592,-118.99481771664072,-121.60819895502684,-125.09852743809202,-129.27504376107,-23.956875815149306
