,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),0.49599209904632396,0.5194733841027666,0.5654347469989066,0.5744399196728992,0.5782578455194537,0.5738387193134764,0.6782663920479393,0.7006013577088687,0.7398141647612352,0.7468403263728776,0.7472723490963209,0.7429983790404545,0.6080588082349815,0.6261485247996508,0.667958815022638,0.6841501711149114,0.688588295027315,0.6894341248602048,0.7158963665587671,0.7416295503700792,0.7921437131554702,0.8091754754152156,0.8115101777503106,0.8041147793083986,0.8800215423970935,0.8947539502150129,0.9161594362363668,0.9177424229093594,0.9145071776838674,0.895287151802945,0.8360774962093867,0.868514958032312,0.9270957340000721,0.9331946174284836,0.9297402649439737,0.9154121191944601,1.0769812090191642
Arithmetic Mean Returns (Annual),-0.33334950788262946,-0.2972702529579383,-0.21864502734627464,-0.19970135874557499,-0.1856631228372775,-0.18272656684667385,-0.05332690354504769,-0.03467126808223063,0.0074329770674527625,0.018851701028699493,0.026266291613033694,0.03170396778616475,-0.15119694267949305,-0.12755765417798925,-0.06262250039752251,-0.03226890385906385,-0.0160190948100391,0.0002993509812781567,-0.006344516872567371,0.02186063463385458,0.0835653787853135,0.11112526420530745,0.1248092094879243,0.1315215809716761,0.19071280982833858,0.20232984972693036,0.22578214439266928,0.2338647726053832,0.24150060822564742,0.23485328000821065,0.14984698880866673,0.18017202932592047,0.23863197418611995,0.24841636798033973,0.25424124698648987,0.2540093036300447,0.08457267242960752
Geometric Mean Returns (Annual),-0.7002128507958283,-0.6540825600723221,-0.5695107082716866,-0.5537455901751531,-0.5471358200775933,-0.5547904019297112,-0.38791389352615946,-0.3555631400038728,-0.30117469479951087,-0.29173352044883916,-0.2911558945447035,-0.29688499482261044,-0.49698902576644777,-0.4677295875225862,-0.4032032657339535,-0.37928982415730284,-0.37283344017874365,-0.3716076682525882,-0.3339965556303781,-0.2987268010417876,-0.23290389175209536,-0.2116498394395261,-0.208771130877472,-0.21791822772215808,-0.1277762271538474,-0.11118178435376436,-0.08754953900408369,-0.08582377798496688,-0.08935399035275848,-0.11058630628468791,-0.1789698803530415,-0.14093073273649392,-0.07568698647231198,-0.06913194650184917,-0.07283940362964869,-0.08836529108632862,0.07417295157796655
Minimum Return (Annual),-54.05252329002739,-53.671404946481985,-53.05199226606466,-52.35059409508698,-51.792876444915066,-51.20490426546371,-55.545679761451524,-53.80736469751497,-53.77435122063572,-54.64228596966786,-55.431928417534564,-54.78337631259106,-59.71555714621337,-58.82022119604888,-57.590803239629125,-60.00911584501112,-64.64794219497465,-67.60927234461529,-60.45885721141335,-60.25425895499509,-59.57252743324427,-58.95704634804261,-59.13561137861343,-63.093508211294555,-62.88443862647147,-62.29730781204886,-61.0646138403107,-60.41086019130244,-59.67479588351743,-62.98015833940715,-62.40311499642673,-60.849924503245894,-58.330160528516814,-56.85565491430539,-55.339027720636565,-58.19545858992151,-19.523633778739196
Max 10-day Drawdown,-0.46977702258919374,-0.48042375613672084,-0.4964939486958836,-0.5024275181122244,-0.5096267602620066,-0.5142961715890972,-0.4488865831243868,-0.4291469128960811,-0.4307948234482807,-0.44269981178833717,-0.45397362400536156,-0.464961221101176,-0.4666704282753702,-0.46302765329063167,-0.47991043776508546,-0.4994327769512522,-0.5205253680277571,-0.5434603425650357,-0.4438476748937791,-0.43426155209143324,-0.4256259032743205,-0.42712942863293024,-0.4288857887373858,-0.45684327802099445,-0.46750282063501236,-0.4725052676238536,-0.5088895242262775,-0.5317968473138075,-0.554612316674213,-0.5770021523081397,-0.4730786858206413,-0.47047255912450137,-0.4623899102431971,-0.4583476933106104,-0.46709441065187685,-0.5016439583433685,-0.12437183444147581
Volatility,0.8647173762882893,0.850013979858249,0.838209193627816,0.8399354214930074,0.8470007908922054,0.8579380639368142,0.8265242166234021,0.8071684816256602,0.787378178530676,0.788330160013103,0.795727182753816,0.808597515138813,0.845798511528263,0.8353408131341272,0.8291070298693234,0.8338035207037524,0.8427539822189497,0.8581808261821542,0.8189081810614647,0.8075468851830951,0.7978081724397306,0.8038590598410641,0.8152995315767144,0.832551699829213,0.800008747921867,0.7912681048291618,0.7869394817798714,0.7932819899588498,0.8057872743494597,0.822202709675381,0.8130866260234627,0.801839349834961,0.7900619704722927,0.7923982208183643,0.8028482577579092,0.8201795866733039,0.14382125794335493
Sharpe Ratio (Annual),-0.4548879421979953,-0.4203110318462266,-0.3324289800977766,-0.309192054650998,-0.290038835239461,-0.28291851947083013,-0.13711262327923296,-0.11728811299911018,-0.0667621028444583,-0.05219678385844907,-0.04239356040373315,-0.0349939638498365,-0.24970124657453446,-0.22452830177695854,-0.14789706995591292,-0.11066024737001162,-0.09020318671159852,-0.06956651465206472,-0.08101581887553247,-0.04722867002019093,0.029537650276569113,0.06359978603141668,0.07949128753035004,0.08590647401998917,0.16338922564019845,0.17987563110187538,0.21066695499596638,0.21917146085013495,0.2252463075594973,0.21266444144564492,0.11050112734983551,0.14987045640832536,0.2260986870173427,0.23777989782176587,0.24194017376202784,0.23654490648439291,0.17085563553675528
Kurtosis (Annual),10.852991535891237,7.903106210751611,3.9534327655750374,2.723788211391631,1.9380690441972828,1.4745047692207711,11.894082347183673,8.913653918106258,4.2883049154608,2.9987368965009704,2.2802266056955425,1.9318135666433713,22.82587089530017,17.71619170195565,9.246201717534131,6.288617491577533,4.340252523936979,3.14745136654773,18.019847210898917,14.40787142095909,8.092750772662802,5.904922621200733,4.283862686573162,3.2005933233205592,8.999900459020639,6.948407866824802,3.973118273845869,3.1051599135464647,2.7244053041341516,2.6080239548261863,11.24664093716711,9.114454916861732,5.128308915493998,3.7004127148562107,2.94630113364368,2.5583915374934865,7.916047033310077
Skew (Annual),0.9764633557586001,0.7206567506410371,0.2941104495340041,0.11920292052559299,-0.016312620413718785,-0.11625188329651304,1.0352990338270107,0.8022671708213961,0.36550905087315816,0.20990445847549719,0.09781453788059982,0.01743921094327432,1.6666813773443467,1.3158562727183845,0.6506990727133101,0.36194833012721633,0.12877448828534277,-0.04296027298708459,1.2577547340110897,0.9960530124619473,0.5034326208528798,0.3090138104380309,0.1312947089275377,-0.023517413293437924,0.49450122989204115,0.25486999313583203,-0.1423377002636942,-0.2847971537869621,-0.3767401249879788,-0.44508432430011124,0.5770455834527879,0.3949215967793394,0.03105586243677895,-0.13849749288919308,-0.2539265033882346,-0.3383596500170183,-0.8992041071546787
