,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{60}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{60}_{120}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{60}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{90}_{120}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{60}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,$S^{120}_{120}$,SPY
,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,β=-1.0,β=-0.5,β=0.5,β=1.0,β=1.5,β=2.0,
Cumulative Returns (Annual),3.836830787259591,3.8297343282918455,3.821865496842535,3.78025148644347,3.647244664291147,3.4493058418977562,4.919490169347626,4.84968878608782,4.5313742383910185,4.323873202864957,4.083032947956037,3.8719881312524387,5.986534440196069,5.949617308239284,5.575764110921022,5.273890915369013,5.017686630732638,4.95103567843085,6.786128732058572,6.528056994502525,5.973124025609055,5.724656086925913,5.5887076214736515,5.339234400596233,6.661937800807501,6.212251313432418,5.699395649879453,5.402962420571778,4.948621139843011,4.564350696738444,6.189665814205941,5.887349408330454,5.222695287514604,4.925857234323941,4.765047045989593,4.542034613172362,0.964412340991441
Arithmetic Mean Returns (Annual),1.6503374717788188,1.6344627252627701,1.6235453195384955,1.6177830222379082,1.5909621111272751,1.5495708480866845,1.8660722420445308,1.8365080828977658,1.7556379395391624,1.7111784880439835,1.6608608895115728,1.6191184386210113,2.1037861060886587,2.0845214714916054,2.004464914536988,1.948233637094471,1.9039326165070887,1.9035838811658303,2.2063329056125736,2.153412459878581,2.052604965720499,2.01124227159492,1.9936821034751362,1.9551260727787012,2.1951136822940454,2.1020277592636876,2.0000798198045033,1.9401405634164022,1.848777023470681,1.7693036918950016,2.1116805492454596,2.04232744091402,1.9017463059148734,1.8434872841977863,1.818506909573062,1.7805046765903874,-0.02135688756925639
Geometric Mean Returns (Annual),1.348269351555964,1.3464080991609784,1.3443402491663536,1.3333335030573101,1.2973265081106522,1.2412442184990824,1.598292306028204,1.58391099038796,1.515600865864497,1.4684474372773648,1.4108059154510078,1.35744010535227,1.7959327075855458,1.7897025600405736,1.7243489225382547,1.668310281442431,1.6181835434311287,1.604725134287388,1.9222329318299147,1.8831665634040928,1.7936739981893601,1.7508851962227956,1.7266836238400973,1.6807066279161398,1.9036213698867543,1.833212015153407,1.7464319310229737,1.6926518060996765,1.6042342011181043,1.522895941665603,1.8295430703527682,1.7791064462957529,1.6584905799062466,1.5995939946140125,1.5661929370734962,1.5179649294239095,-0.03623371019118027
Minimum Return (Annual),-44.7289322165286,-47.48826689453174,-52.97595912630369,-56.12876776131216,-59.14163422187102,-62.21604493222502,-57.12459840497158,-59.90013028369812,-65.36709406713406,-68.0963042406838,-70.79053573821488,-73.50775967860355,-46.296299646467936,-47.3184944192719,-52.41265438238839,-55.48918283145942,-57.741907292684594,-59.32296467367402,-52.713399498413516,-54.95667714425191,-59.86268003443698,-62.294919683012495,-64.86286859662879,-67.37314761025642,-46.6695711767567,-46.65174505759115,-47.51847893369425,-49.06106783300182,-50.82327176469132,-52.68810610335313,-47.42324308586138,-48.81734984515454,-51.99454941212586,-54.173026631370924,-56.638590938852914,-58.87641813487027,-7.408435643730337
Max 10-day Drawdown,-0.3799032813755472,-0.36833696098995594,-0.3460774581172301,-0.3564069556064664,-0.36703049224712236,-0.37679042541257635,-0.38504502320979905,-0.375949244972415,-0.40005565825691836,-0.41693687433262594,-0.43288291196097983,-0.44250499340461713,-0.33977555744770327,-0.3132344219846057,-0.26530639350822516,-0.26875185002455504,-0.27900519615497354,-0.29296081767537674,-0.3289911430269409,-0.3161675774816133,-0.28736867653563736,-0.2732306320738809,-0.28910588996753184,-0.31006196140835085,-0.32411533908750867,-0.3005919849268429,-0.2631828893528023,-0.24907606766665813,-0.2359222634458199,-0.228576420301006,-0.32291911637991033,-0.30803461968635937,-0.27910264424476305,-0.26482188937472195,-0.2564068068602441,-0.2616415539455198,-0.0748104311877148
Volatility,0.7759741116592955,0.7583036542326778,0.7470077224948725,0.753647196266469,0.7646872807623408,0.7818974140776724,0.7298942704216419,0.7082433937245204,0.6879734450794648,0.6903599413663953,0.699196220290711,0.7138050057529435,0.784396651518023,0.7680529434468111,0.7486394844225374,0.7474399147240092,0.7541501158807373,0.7704869427097708,0.7559166577870438,0.736973412643638,0.7200178525959835,0.7210075445981524,0.7291072695827664,0.7376573662760013,0.7668059181635752,0.7366401876087291,0.7158337477193127,0.7071260415557076,0.7020406049685045,0.7034717959396072,0.7543431592616742,0.7286360106391948,0.6998594138736486,0.7001217376811047,0.7116578275437219,0.7250946201277215,0.1722962370349981
Sharpe Ratio (Annual),2.0494723314649486,2.0762958433267187,2.093077852417018,2.0669923937289068,2.002076076904288,1.9050719714219606,2.474429948602292,2.5083299027406945,2.4646851585140856,2.3917646275591937,2.289573145641389,2.184235787162077,2.605551798485334,2.635913954585094,2.597331499335558,2.526268131922949,2.4450471831508565,2.39275162104892,2.8393777058650778,2.8405535721691577,2.7674382774486426,2.7062716419734953,2.6521229236703276,2.5691142790942076,2.7844251481619136,2.772083024539415,2.7102379930894687,2.6588478615212816,2.5479680389012977,2.4298112614620653,2.719823894543666,2.7206004259589456,2.6315946737374016,2.5473959573158385,2.471000586956974,2.3728002233519945,-0.4721919002370932
Kurtosis (Annual),2.58039701695669,2.830653659612871,3.330502553446813,3.5848521673009417,3.763381950513571,3.8713564727368723,4.485128222739208,5.431940538401339,7.604422399033137,8.530970431613595,9.220407094878844,9.596725741526562,3.038553399691705,3.216178156891731,3.4068646146625765,3.585952908531711,3.6444140531241684,3.6409253992211035,3.985128720319514,4.557591231389475,5.7836406878410465,6.273022321704955,6.530701692921127,6.773135209567615,3.805275521453776,4.287286522697927,5.211674695132151,5.348052987743914,5.268694405305869,5.212879921153675,4.354242201011825,5.014264955326119,6.278970711921923,6.674145091817303,6.9157375602914986,6.747505233142688,0.4724578530765102
Skew (Annual),-0.11253595959705454,-0.06741214731337276,-0.014120227334778574,-0.026281760270852144,-0.08994348189346038,-0.19570349574999016,-0.15723289310547087,-0.19742050400972624,-0.3666171810959366,-0.4649348748740503,-0.5587873923031228,-0.6416498098452637,-0.06444747527182135,-0.0297758519419906,-0.02307706852425138,-0.08750714520197599,-0.15871067692831267,-0.20626142938286404,0.14176482462887166,0.1388575667107733,0.0699751804068639,0.00730964780174199,-0.06255580354282586,-0.16792308817443333,0.2228278408924865,0.26541228050799537,0.33139508746254726,0.3460333552692722,0.2738071610349277,0.16729724788867903,0.24651222140445095,0.273008727770571,0.27000005672552685,0.23044704234496338,0.20824068178647598,0.14262061285241467,-0.27751262586695796
mVaR (Annual),-115.62171669253992,-111.50743301959757,-107.88239607411943,-108.84196960944156,-111.8535639991552,-116.99507208866048,-104.87667723188211,-101.03945465833445,-98.49602672928845,-99.68990867046831,-102.18898986193099,-105.81342768732424,-112.33718295130035,-108.81355859098869,-105.80610696317632,-107.06067222214584,-109.82522285239791,-113.4891239689583,-101.22914913964541,-97.88798851027862,-95.6078600938185,-96.59754705688076,-99.00022797872047,-102.36774158576944,-101.42818178318306,-95.84360409905366,-90.67482400370172,-89.29500616644805,-90.75522413867971,-93.73787116708642,-98.72241386189695,-93.80339683878877,-88.7534960637542,-89.41458533416723,-91.35326774782988,-95.16565574962632,-29.645240559731683
VaR (Daily),-7.412298675543479,-7.234823375280321,-7.121679123910594,-7.193054274403591,-7.318632281898596,-7.514225249096695,-6.846637664770651,-6.633229956227353,-6.454710391369874,-6.497320815894303,-6.6093713800533,-6.778043084549526,-7.318538632406237,-7.156221418142067,-6.98628645263263,-6.996299878712961,-7.08382629322777,-7.253917270126752,-6.981243456079175,-6.805345665923293,-6.669280519100231,-6.696121330738893,-6.787406575846452,-6.891775368348352,-7.099011770006787,-6.822433016875095,-6.646763469340579,-6.580153185433953,-6.563794968562702,-6.610472934720195,-7.002735344200109,-6.763045949275486,-6.519916394952268,-6.545948949750094,-6.675950670488542,-6.830934083697325,-1.8009349536432857
VaR (Annual),-117.19873256083405,-114.39260167456474,-112.60363398214993,-113.73217420162572,-115.71773684017529,-118.81033319345826,-108.25484667285815,-104.88057452668718,-102.05793236742824,-102.73166233524772,-104.503337314494,-107.1702711296487,-115.71625611168743,-113.14979560904568,-110.46288788348579,-110.62121405146368,-112.00512817793778,-114.6945026601571,-110.38315110677932,-107.60196284536467,-105.45058397473416,-105.8749744698628,-107.31832092639594,-108.96853643113349,-112.24523164782424,-107.87213758629636,-105.09455815759492,-104.04135709391794,-103.7827109750572,-104.52075442306689,-110.72296769517764,-106.93314560043059,-103.08892980961555,-103.50054064198693,-105.55604832836015,-108.00655125479403,-28.47528185661269
CVaR (Annual),-178.60396664525257,-173.1223077592579,-165.85981729124995,-164.14577296661622,-164.8841145226304,-168.87503622534948,-169.02847088926993,-160.1094455374892,-150.87480279102283,-151.08028420148096,-154.00410565972024,-160.9780398340889,-175.37369919623345,-169.5929643709616,-163.55318382602627,-163.7086657316077,-166.08136325304866,-168.44084814597213,-163.74022299333316,-156.32868380639843,-146.70293359008514,-147.03607161593064,-148.45154282557905,-152.5006795395878,-172.68971140769972,-162.8453752855484,-156.2081027451108,-152.00099214775767,-151.99534533316032,-154.3194930085287,-165.90463868316857,-157.02800851083987,-145.97957535079487,-146.2211465563577,-150.0774214947641,-154.99978358261126,-40.179651244588726
